
"PowerShares QQQ Trust, Series 1 (ETF)",Last: 720.1,Change:  7.95
Date: 14 de julio de 2026 a las 17:50 GMT-4,Bid: 720,Ask: 720.1,Size: 560*160,Volume: 29.187.025
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
Tue Jul 14 2026,QQQ260714C00635000,85.84,9.675,82.72,86.9,7,0,1,0,0,635.00,QQQ260714P00635000,0.02,0,0,0.01,0,7.3693,0,0,531
Tue Jul 14 2026,QQQ260714C00640000,80.34,9.1,78.03,81.9,10,0,1,0,0,640.00,QQQ260714P00640000,0.01,-0.01,0,0.01,11,6.9402,0,0,876
Tue Jul 14 2026,QQQ260714C00645000,75.67,9.43,73.02,76.93,8,0,1,0,0,645.00,QQQ260714P00645000,0.01,-0.01,0,0.01,16,6.5127,0,0,678
Tue Jul 14 2026,QQQ260714C00650000,69.81,8.765,68.02,71.93,17,0,1,0,1,650.00,QQQ260714P00650000,0.01,-0.015,0,0.01,103,6.0869,0,0,1952
Tue Jul 14 2026,QQQ260714C00655000,65.71,9.46,63.02,66.9,9,8.3449,1,0,2,655.00,QQQ260714P00655000,0.01,-0.015,0,0.01,175,5.6623,0,0,3260
Tue Jul 14 2026,QQQ260714C00660000,59.97,9.285,58,61.93,37,7.7006,1,0,11,660.00,QQQ260714P00660000,0.01,-0.025,0,0.01,1027,5.2389,0,0,2189
Tue Jul 14 2026,QQQ260714C00665000,55.72,9.51,53.03,56.91,10,7.178,1,0,1,665.00,QQQ260714P00665000,0.01,-0.035,0,0.01,1019,4.8163,0,0,3477
Tue Jul 14 2026,QQQ260714C00668000,53.19,9.965,49.3,53.89,98,2.6107,1,0,0,668.00,QQQ260714P00668000,0.01,-0.045,0,0.01,2243,4.563,0,0,871
Tue Jul 14 2026,QQQ260714C00669000,52.1,9.8,48.28,52.89,165,2.5598,1,0,0,669.00,QQQ260714P00669000,0.01,-0.045,0,0.01,2319,4.4786,0,0,783
Tue Jul 14 2026,QQQ260714C00670000,50.47,9.1,48.02,51.88,327,6.5661,1,0,82,670.00,QQQ260714P00670000,0.01,-0.05,0,0.01,4355,4.3943,0,0,2234
Tue Jul 14 2026,QQQ260714C00671000,48.93,8.615,47.07,50.89,301,6.5771,1,0,0,671.00,QQQ260714P00671000,0.01,-0.055,0,0.01,2744,4.3099,0,0,213
Tue Jul 14 2026,QQQ260714C00672000,48.55,9.24,45.32,49.89,150,2.4074,1,0,0,672.00,QQQ260714P00672000,0.02,-0.045,0,0.01,2938,4.2256,0,0,450
Tue Jul 14 2026,QQQ260714C00673000,46.65,8.34,45.06,48.89,56,6.3396,1,0,0,673.00,QQQ260714P00673000,0.01,-0.06,0,0.01,2417,4.1412,0,0,433
Tue Jul 14 2026,QQQ260714C00674000,47.24,9.885,44.06,47.88,3,6.2206,1,0,0,674.00,QQQ260714P00674000,0.01,-0.07,0,0.01,4858,4.0569,0,0,952
Tue Jul 14 2026,QQQ260714C00675000,45.37,9.42,43.01,46.93,60,5.9554,1,0,6,675.00,QQQ260714P00675000,0.01,-0.075,0,0.01,7545,3.9726,0,0,3382
Tue Jul 14 2026,QQQ260714C00676000,44.24,8.98,41.26,45.89,49,2.2048,1,0,1,676.00,QQQ260714P00676000,0.01,-0.08,0,0.01,5202,3.8882,0,0,1656
Tue Jul 14 2026,QQQ260714C00677000,43.67,9.4,40.26,44.88,43,2.1543,1,0,1,677.00,QQQ260714P00677000,0.01,-0.09,0,0.01,4507,3.8038,0,0,465
Tue Jul 14 2026,QQQ260714C00678000,42.54,9.26,40.04,43.93,18,5.6754,1,0,0,678.00,QQQ260714P00678000,0.01,-0.1,0,0.01,3513,3.7195,0,0,1198
Tue Jul 14 2026,QQQ260714C00679000,41.36,9.13,39.08,42.9,17,5.6455,1,0,0,679.00,QQQ260714P00679000,0.01,-0.11,0,0.01,3795,3.6351,0,0,789
Tue Jul 14 2026,QQQ260714C00680000,39.84,8.495,38.03,41.92,94,5.4154,1,0,77,680.00,QQQ260714P00680000,0.01,-0.125,0,0.01,4687,3.5507,0,0,3583
Tue Jul 14 2026,QQQ260714C00681000,39.22,8.855,37.08,40.94,29,5.4257,1,0,1,681.00,QQQ260714P00681000,0.01,-0.135,0,0.01,7433,3.4663,0,0,311
Tue Jul 14 2026,QQQ260714C00682000,38.35,9.015,36.06,39.91,76,5.2429,1,0,0,682.00,QQQ260714P00682000,0.01,-0.15,0,0.01,5623,3.3819,0,0,770
Tue Jul 14 2026,QQQ260714C00683000,37.54,9.145,35.06,38.91,74,5.1435,1,0,0,683.00,QQQ260714P00683000,0.01,-0.17,0,0.01,10076,3.2974,0,0,1315
Tue Jul 14 2026,QQQ260714C00684000,36.65,9.275,34.08,37.95,17,5.0626,1,0,0,684.00,QQQ260714P00684000,0.01,-0.19,0,0.01,12605,3.2129,0,0,619
Tue Jul 14 2026,QQQ260714C00685000,35.67,9.235,33.03,36.91,88,4.8416,1,0,27,685.00,QQQ260714P00685000,0.01,-0.21,0,0.01,8051,3.1283,0,0,6080
Tue Jul 14 2026,QQQ260714C00686000,34.61,9.19,31.26,35.88,65,3.0437,1,0,0,686.00,QQQ260714P00686000,0.02,-0.225,0,0.01,18027,3.0437,0,0,724
Tue Jul 14 2026,QQQ260714C00687000,33.6,9.12,30.26,34.88,49,2.9591,1,0,0,687.00,QQQ260714P00687000,0.01,-0.265,0,0.01,15242,2.9591,0,0,5443
Tue Jul 14 2026,QQQ260714C00688000,32.12,8.755,30.01,33.88,78,4.4415,1,0,0,688.00,QQQ260714P00688000,0.01,-0.295,0,0.01,43786,2.8744,0,0,1435
Tue Jul 14 2026,QQQ260714C00689000,31.71,9.305,29.07,32.88,95,4.4347,1,0,1,689.00,QQQ260714P00689000,0.01,-0.33,0,0.01,14182,2.7896,0,0,935
Tue Jul 14 2026,QQQ260714C00690000,30.18,8.41,28.03,31.91,70,4.2394,1,0,46,690.00,QQQ260714P00690000,0.01,-0.37,0,0.01,10260,2.7047,0,0,6969
Tue Jul 14 2026,QQQ260714C00691000,29.22,8.745,27.03,31,73,4.1181,1,0,29,691.00,QQQ260714P00691000,0.01,-0.415,0,0.01,16073,2.6197,0,0,940
Tue Jul 14 2026,QQQ260714C00692000,28.22,8.695,26.04,29.92,56,4.0143,1,0,14,692.00,QQQ260714P00692000,0.01,-0.465,0,0.01,28546,2.5347,0,0,1080
Tue Jul 14 2026,QQQ260714C00693000,26.89,8.3,24.26,28.92,72,2.4495,1,0,24,693.00,QQQ260714P00693000,0.01,-0.52,0,0.01,21150,2.4495,0,0,5714
Tue Jul 14 2026,QQQ260714C00694000,25.89,7.97,23.57,27.92,94,2.3643,0.9999,0,13,694.00,QQQ260714P00694000,0.01,-0.58,0,0.01,7278,2.3643,-0.0001,0,1730
Tue Jul 14 2026,QQQ260714C00695000,25.15,8.455,23.03,26.98,95,3.6292,0.9999,0.0001,80,695.00,QQQ260714P00695000,0.01,-0.65,0,0.01,17102,2.2789,-0.0001,0.0001,12810
Tue Jul 14 2026,QQQ260714C00696000,23.61,7.835,21.57,25.61,55,2.75,0.9998,0.0001,14,696.00,QQQ260714P00696000,0.01,-0.735,0,0.01,6806,2.1933,-0.0002,0.0001,3106
Tue Jul 14 2026,QQQ260714C00697000,22.83,7.94,21.06,24.91,39,2.6469,0.9997,0.0002,7,697.00,QQQ260714P00697000,0.01,-0.815,0,0.01,9860,2.1076,-0.0003,0.0002,3516
Tue Jul 14 2026,QQQ260714C00698000,21.51,7.425,20.08,23.49,55,2.5436,0.9994,0.0003,36,698.00,QQQ260714P00698000,0.01,-0.915,0,0.01,8908,2.0218,-0.0006,0.0003,3474
Tue Jul 14 2026,QQQ260714C00699000,21.45,8.275,18.29,22.95,90,2.4399,0.999,0.0005,99,699.00,QQQ260714P00699000,0.01,-1.03,0,0.01,20325,1.9358,-0.001,0.0005,6606
Tue Jul 14 2026,QQQ260714C00700000,19.89,7.28,18.05,21.92,174,2.3359,0.9984,0.0008,169,700.00,QQQ260714P00700000,0.01,-1.155,0,0.01,19320,1.8495,-0.0016,0.0008,6329
Tue Jul 14 2026,QQQ260714C00701000,19.2,7.6,16.31,20.34,80,2.2314,0.9974,0.0012,54,701.00,QQQ260714P00701000,0.01,-1.3,0,0.01,11069,1.7631,-0.0026,0.0012,1699
Tue Jul 14 2026,QQQ260714C00702000,19.34,8.395,15.4,20,68,2.1266,0.9973,0.0013,57,702.00,QQQ260714P00702000,0.01,-1.45,0,0.01,9590,1.6764,-0.0027,0.0013,1029
Tue Jul 14 2026,QQQ260714C00703000,16.9,6.965,14.35,18.58,318,2.0212,0.9972,0.0014,194,703.00,QQQ260714P00703000,0.01,-1.64,0,0.01,13812,1.5895,-0.0028,0.0014,1637
Tue Jul 14 2026,QQQ260714C00704000,16.75,7.525,13.35,18,154,1.9154,0.997,0.0016,214,704.00,QQQ260714P00704000,0.01,-1.83,0,0.01,18174,1.5023,-0.003,0.0016,3550
Tue Jul 14 2026,QQQ260714C00705000,14.61,6.03,12.64,16.35,344,1.8089,0.9968,0.0018,285,705.00,QQQ260714P00705000,0.01,-2.05,0,0.01,32822,1.4148,-0.0032,0.0018,8797
Tue Jul 14 2026,QQQ260714C00706000,14.37,6.58,11.38,16,602,1.7019,0.9967,0.002,423,706.00,QQQ260714P00706000,0.01,-2.29,0,0.01,19492,1.3269,-0.0033,0.002,1802
Tue Jul 14 2026,QQQ260714C00707000,12.85,5.78,10.4,15,242,1.5941,0.9964,0.0022,429,707.00,QQQ260714P00707000,0.01,-2.57,0,0.01,22879,1.2386,-0.0036,0.0022,1383
Tue Jul 14 2026,QQQ260714C00708000,12,5.615,9.83,14,263,1.4856,0.9962,0.0026,273,708.00,QQQ260714P00708000,0.01,-2.87,0,0.01,23411,1.1499,-0.0038,0.0026,3169
Tue Jul 14 2026,QQQ260714C00709000,11.06,5.335,8.83,12.6,949,1.3762,0.9959,0.003,714,709.00,QQQ260714P00709000,0.01,-3.205,0,0.01,27564,1.0606,-0.0041,0.003,1014
Tue Jul 14 2026,QQQ260714C00710000,9.79,4.705,8.09,9.92,1935,0,0.9956,0.0035,1529,710.00,QQQ260714P00710000,0.01,-3.57,0,0.01,85490,0.9708,-0.0044,0.0035,5000
Tue Jul 14 2026,QQQ260714C00711000,8.75,4.265,7.09,8.93,2436,0,0.9952,0.0041,1066,711.00,QQQ260714P00711000,0.01,-3.965,0,0.01,39807,0.8803,-0.0048,0.0041,1534
Tue Jul 14 2026,QQQ260714C00712000,7.49,3.56,7.4,7.91,4856,0,0.9947,0.005,3105,712.00,QQQ260714P00712000,0.01,-4.405,0,0.01,64852,0.789,-0.0053,0.005,2509
Tue Jul 14 2026,QQQ260714C00713000,6.69,3.285,6.43,6.88,7146,0,0.994,0.0063,3165,713.00,QQQ260714P00713000,0.01,-4.88,0,0.01,52980,0.6968,-0.006,0.0063,1406
Tue Jul 14 2026,QQQ260714C00714000,5.8,2.88,5.43,6.11,11234,0.8727,0.9932,0.0082,3106,714.00,QQQ260714P00714000,0.01,-5.4,0,0.01,79008,0.6036,-0.0068,0.0081,1860
Tue Jul 14 2026,QQQ260714C00715000,4.63,2.145,4.45,4.89,33730,0,0.9815,0.02,5524,715.00,QQQ260714P00715000,0.01,-5.965,0.01,0.02,198018,0.5889,-0.0184,0.0198,3274
Tue Jul 14 2026,QQQ260714C00716000,3.62,1.53,3.4,3.89,43623,0,0.9779,0.0285,1989,716.00,QQQ260714P00716000,0.01,-6.58,0.01,0.02,150013,0.4802,-0.0221,0.0285,9392
Tue Jul 14 2026,QQQ260714C00717000,2.37,0.63,2.43,2.89,72411,0,0.9722,0.045,2014,717.00,QQQ260714P00717000,0.01,-7.33,0.01,0.02,177555,0.3686,-0.0278,0.045,1355
Tue Jul 14 2026,QQQ260714C00718000,1.72,0.295,1.62,1.86,133990,0.2896,0.9612,0.0866,3337,718.00,QQQ260714P00718000,0.01,-8.06,0.01,0.02,221234,0.2519,-0.0388,0.0866,1220
Tue Jul 14 2026,QQQ260714C00719000,0.81,-0.35,0.71,0.82,231785,0.1906,0.8474,0.3403,4918,719.00,QQQ260714P00719000,0.05,-8.59,0.05,0.06,275451,0.1799,-0.1526,0.3403,376
Tue Jul 14 2026,QQQ260714C00720000,0.07,-0.86,0.07,0.09,466334,0.1358,0.2896,0.6547,11991,720.00,QQQ260714P00720000,0.37,-9.08,0.35,0.42,368084,0.132,-0.7104,0.6547,1845
Tue Jul 14 2026,QQQ260714C00721000,0.01,-0.73,0,0.01,449951,0.1653,0.0216,0.0811,3285,721.00,QQQ260714P00721000,1.28,-8.895,1.12,2.55,233890,0.6944,-0.9784,0.0811,714
Tue Jul 14 2026,QQQ260714C00722000,0.01,-0.575,0,0.01,451975,0.2699,0.014,0.0343,3034,722.00,QQQ260714P00722000,2.59,-8.625,2.01,3.38,94312,0.7952,-0.986,0.0343,1133
Tue Jul 14 2026,QQQ260714C00723000,0.01,-0.445,0,0.01,208140,0.3694,0.0106,0.0197,1843,723.00,QQQ260714P00723000,3.2,-8.86,1.19,4.41,20553,0.9448,-0.9894,0.0197,642
Tue Jul 14 2026,QQQ260714C00724000,0.01,-0.335,0,0.01,127960,0.4658,0.0086,0.013,5819,724.00,QQQ260714P00724000,4.35,-8.535,2.03,6.01,13671,0,-0.9914,0.013,774
Tue Jul 14 2026,QQQ260714C00725000,0.01,-0.255,0,0.01,127185,0.5598,0.0073,0.0094,6436,725.00,QQQ260714P00725000,5.29,-8.51,3,6.99,5187,0,-0.9927,0.0094,919
Tue Jul 14 2026,QQQ260714C00726000,0.01,-0.195,0,0.01,128969,0.6521,0.0064,0.0071,2180,726.00,QQQ260714P00726000,6.22,-8.62,4.08,7.95,3036,0,-0.9936,0.0071,672
Tue Jul 14 2026,QQQ260714C00727000,0.01,-0.145,0,0.01,23765,0.7429,0.0056,0.0056,2958,727.00,QQQ260714P00727000,7.35,-8.285,5,8.91,1024,0,-0.9944,0.0056,263
Tue Jul 14 2026,QQQ260714C00728000,0.01,-0.105,0,0.01,22481,0.8324,0.0051,0.0046,2162,728.00,QQQ260714P00728000,7.5,-9.1,6.08,9.98,313,0,-0.9949,0.0046,34
Tue Jul 14 2026,QQQ260714C00729000,0.01,-0.075,0,0.01,27112,0.9209,0.0047,0.0038,1958,729.00,QQQ260714P00729000,8.23,-9.345,7.09,10.96,138,0,-0.9953,0.0038,0
Tue Jul 14 2026,QQQ260714C00730000,0.01,-0.06,0,0.01,39579,1.0084,0.0043,0.0032,6619,730.00,QQQ260714P00730000,9.75,-8.825,8.08,11.97,403,0,-0.9957,0.0032,55
Tue Jul 14 2026,QQQ260714C00731000,0.01,-0.045,0,0.01,14143,1.0951,0.004,0.0028,3019,731.00,QQQ260714P00731000,10.66,-8.465,9.06,12.97,83,0,-0.996,0.0028,0
Tue Jul 14 2026,QQQ260714C00732000,0.01,-0.035,0,0.01,7148,1.181,0.0037,0.0024,3947,732.00,QQQ260714P00732000,12.73,-8.305,10.06,13.93,54,0,-0.9963,0.0024,0
Tue Jul 14 2026,QQQ260714C00733000,0.01,-0.025,0,0.01,9009,1.2663,0.0035,0.0022,1018,733.00,QQQ260714P00733000,14.7,-7.33,11.09,14.97,43,0,-0.9965,0.0022,0
Tue Jul 14 2026,QQQ260714C00734000,0.01,-0.015,0,0.01,2464,1.3508,0.0033,0.0019,847,734.00,QQQ260714P00734000,15.42,-7.62,12.09,15.96,44,0,-0.9967,0.0019,1
Tue Jul 14 2026,QQQ260714C00735000,0.01,-0.015,0,0.01,4078,1.4348,0.0031,0.0017,3015,735.00,QQQ260714P00735000,14.97,-8.325,13.09,16.95,23,0,-0.9969,0.0017,32
Tue Jul 14 2026,QQQ260714C00736000,0.01,-0.005,0,0.01,1344,1.5182,0.003,0.0016,757,736.00,QQQ260714P00736000,15.67,-9.375,14.08,17.96,31,0,-0.997,0.0016,0
Tue Jul 14 2026,QQQ260714C00737000,0.01,-0.005,0,0.01,737,1.601,0.0028,0.0014,4598,737.00,QQQ260714P00737000,17.43,-8.555,15.1,18.95,62,0,-0.9972,0.0014,0
Tue Jul 14 2026,QQQ260714C00738000,0.01,-0.005,0,0.01,154,1.6834,0.0027,0.0013,946,738.00,QQQ260714P00738000,18.93,-7.21,16.07,19.97,112,0,-0.9973,0.0013,0
Tue Jul 14 2026,QQQ260714C00739000,0.01,-0.005,0,0.01,188,1.7653,0.0017,0.0008,1165,739.00,QQQ260714P00739000,18.59,-9.375,17.06,20.92,20,0,-0.9983,0.0008,0
Tue Jul 14 2026,QQQ260714C00740000,0.01,-0.005,0,0.01,231,1.8468,0.001,0.0005,1376,740.00,QQQ260714P00740000,20.22,-8.815,18.07,21.99,59,0,-0.999,0.0005,14
Tue Jul 14 2026,QQQ260714C00741000,0.01,-0.005,0,0.01,2,1.9278,0.0006,0.0003,1143,741.00,QQQ260714P00741000,32.14,0,19.12,22.97,0,0,-0.9994,0.0003,0
Tue Jul 14 2026,QQQ260714C00742000,0.01,0,0,0.01,109,2.0084,0.0004,0.0002,1412,742.00,QQQ260714P00742000,26.07,0,20.09,23.94,0,0,-0.9996,0.0002,0
Tue Jul 14 2026,QQQ260714C00743000,0.01,0.005,0,0.01,8,2.0886,0.0002,0.0001,657,743.00,QQQ260714P00743000,24.35,-7.685,21.04,24.94,20,0,-0.9998,0.0001,0
Tue Jul 14 2026,QQQ260714C00744000,0.01,0.005,0,0.01,7,2.1685,0.0001,0.0001,1118,744.00,QQQ260714P00744000,25.35,-7.615,22.07,25.92,17,0,-0.9999,0.0001,1
Tue Jul 14 2026,QQQ260714C00745000,0.01,0.005,0,0.01,590,2.248,0.0001,0,859,745.00,QQQ260714P00745000,25.1,-8.87,23.07,26.99,986,0,-0.9999,0,20
Tue Jul 14 2026,QQQ260714C00746000,0.01,0.005,0,0.01,60,2.3271,0,0,318,746.00,QQQ260714P00746000,27.46,-7.51,24.08,28.62,18,0,-1,0,0
Tue Jul 14 2026,QQQ260714C00747000,0.01,0.005,0,0.01,1,2.4059,0,0,437,747.00,QQQ260714P00747000,26.79,-9.06,25.09,28.94,39,0,-1,0,0
Tue Jul 14 2026,QQQ260714C00748000,0.01,0,0,0.01,0,2.4844,0,0,424,748.00,QQQ260714P00748000,27.7,-9.09,26.08,30.62,19,0,-1,0,0
Tue Jul 14 2026,QQQ260714C00749000,0.01,0.005,0,0.01,17,2.5626,0,0,888,749.00,QQQ260714P00749000,29.03,-8.76,27.04,30.94,6,0,-1,0,0
Tue Jul 14 2026,QQQ260714C00750000,0.01,0.005,0,0.01,3,2.6404,0,0,1719,750.00,QQQ260714P00750000,29.64,-9.15,28.07,32.62,26,0,-1,0,4
Tue Jul 14 2026,QQQ260714C00751000,0.01,0,0,0.01,0,2.7179,0,0,466,751.00,QQQ260714P00751000,30.15,-9.645,29.23,33.25,49,0,-1,0,0
Tue Jul 14 2026,QQQ260714C00752000,0.01,0.005,0,0.01,559,2.7952,0,0,660,752.00,QQQ260714P00752000,30.71,-10.06,30.22,34.23,31,0,-1,0,0
Tue Jul 14 2026,QQQ260714C00753000,0.01,0.005,0,0.01,9,2.8721,0,0,197,753.00,QQQ260714P00753000,31.99,-9.805,31.22,34.98,3,0,-1,0,0
Tue Jul 14 2026,QQQ260714C00754000,0.01,0.005,0,0.01,10,2.9488,0,0,221,754.00,QQQ260714P00754000,32.89,-9.89,32.23,35.94,3,0,-1,0,0
Tue Jul 14 2026,QQQ260714C00755000,0.01,0.005,0,0.01,28,3.0253,0,0,1985,755.00,QQQ260714P00755000,33.82,-9.97,33.22,36.98,84,0,-1,0,0
Tue Jul 14 2026,QQQ260714C00756000,0.01,0,0,0.01,0,3.1014,0,0,1207,756.00,QQQ260714P00756000,34.7,-10.09,34.22,37.98,84,0,-1,0,0
Tue Jul 14 2026,QQQ260714C00757000,0.02,0,0,0.01,0,3.1773,0,0,24,757.00,QQQ260714P00757000,36.82,-8.96,35.22,39.23,10,0,-1,0,0
Tue Jul 14 2026,QQQ260714C00758000,0.02,0,0,0.01,0,3.253,0,0,150,758.00,QQQ260714P00758000,37.72,-9.075,36.22,40.25,12,0,-1,0,0
Tue Jul 14 2026,QQQ260714C00759000,0.01,0,0,0.01,0,3.3284,0,0,75,759.00,QQQ260714P00759000,39.27,-8.51,37.22,40.94,2,0,-1,0,0
Tue Jul 14 2026,QQQ260714C00760000,0.01,0.005,0,0.01,1,3.4035,0,0,605,760.00,QQQ260714P00760000,48.07,0,38.22,41.98,0,0,-1,0,13
Tue Jul 14 2026,QQQ260714C00761000,0.24,0,0,0.01,0,3.4785,0,0,2,761.00,QQQ260714P00761000,40.32,-9.47,39.22,42.94,7,0,-1,0,0
Tue Jul 14 2026,QQQ260714C00762000,0.01,0,0,0.01,0,3.5532,0,0,96,762.00,QQQ260714P00762000,41.22,-9.575,40.22,43.98,7,0,-1,0,0
Tue Jul 14 2026,QQQ260714C00763000,0.04,0,0,0.01,0,3.6277,0,0,136,763.00,QQQ260714P00763000,52.3,0,41.22,44.94,0,0,-1,0,0
Tue Jul 14 2026,QQQ260714C00764000,0.02,0,0,0.01,0,3.7019,0,0,37,764.00,QQQ260714P00764000,43.26,-9.52,42.22,45.97,5,0,-1,0,0
Tue Jul 14 2026,QQQ260714C00765000,0.01,0.005,0,0.01,3,3.776,0,0,179,765.00,QQQ260714P00765000,44.16,-9.63,43.22,46.98,5,0,-1,0,0
Tue Jul 14 2026,QQQ260714C00766000,0.12,0,0,0.01,0,3.8498,0,0,8,766.00,QQQ260714P00766000,0,0,44.22,47.94,0,0,-1,0,0
Tue Jul 14 2026,QQQ260714C00767000,0.01,0,0,0.01,0,3.9234,0,0,603,767.00,QQQ260714P00767000,0,0,45.22,48.97,0,0,-1,0,0
Tue Jul 14 2026,QQQ260714C00768000,0.01,0,0,0.01,0,3.9968,0,0,96,768.00,QQQ260714P00768000,0,0,46.22,49.97,0,0,-1,0,0
Tue Jul 14 2026,QQQ260714C00769000,0.02,0,0,0.01,0,4.07,0,0,60,769.00,QQQ260714P00769000,0,0,47.22,50.97,0,0,-1,0,0
Tue Jul 14 2026,QQQ260714C00770000,0.02,0,0,0.01,0,4.143,0,0,406,770.00,QQQ260714P00770000,55.08,-3.71,48.22,51.98,2,0,-1,0,0
Tue Jul 14 2026,QQQ260714C00771000,0.01,0,0,0.01,0,4.2158,0,0,21,771.00,QQQ260714P00771000,49.74,-10.05,49.22,52.97,3,0,-1,0,0
